
="",="(1)",="(2)",="(3)",="(4)"
="",="log_money",="log_money",="log_money",="log_money"

="número de grados aprobados",="0.0642***",="0.0640***",="0.0610***",="0.0698***"
="",="(0.000866)",="(0.000849)",="(0.000862)",="(0.000884)"

="hombre",="",="0",="0",="0"
="",="",="(.)",="(.)",="(.)"

="mujer",="",="-0.276***",="-0.280***",="-0.302***"
="",="",="(0.00832)",="(0.00827)",="(0.00814)"

="occidental",="",="",="0",="0"
="",="",="",="(.)",="(.)"

="central i",="",="",="0.0288*",="0.0207"
="",="",="",="(0.0120)",="(0.0117)"

="central ii",="",="",="-0.0212",="-0.0186"
="",="",="",="(0.0133)",="(0.0131)"

="oriental",="",="",="-0.0294*",="-0.0309*"
="",="",="",="(0.0123)",="(0.0120)"

="Área metropolitana de san salvador",="",="",="0.188***",="0.144***"
="",="",="",="(0.0134)",="(0.0132)"

="edad en años cumplidos",="",="",="",="0.00989***"
="",="",="",="",="(0.000295)"

="Constant",="4.973***",="5.091***",="5.090***",="4.655***"
="",="(0.00820)",="(0.00880)",="(0.0112)",="(0.0170)"

="N",="27181",="27181",="27181",="27181"
="r2_a",="0.168",="0.200",="0.209",="0.241"
="F",="5486.6",="3405.8",="1200.3",="1231.3"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
